,cluster_id,curvature,x,y,z,average_potential
54,55,11.92,35.631177464788735,34.00358591549296,98.16214647887324,-66.2109208450704
55,56,-16.89,29.50186607142857,29.73722767857143,103.87610267857143,-29.550167410714288
56,57,17.4,35.99236257309941,26.53554385964912,100.49073099415203,-31.055644444444443
57,58,16.36,13.08712962962963,31.715562962962967,94.60041851851851,-27.004588148148144
58,59,19.03,14.999878378378378,33.71022297297297,100.26469932432433,-27.530322635135136
59,60,18.25,20.10802118644068,30.645216101694913,108.18020127118646,-13.519470127118643
60,61,5.61,21.285512820512817,25.645301282051282,101.15750213675213,-28.602446794871796
61,62,3.35,25.19028510638298,45.61242127659574,95.94871063829787,-34.508461702127654
62,63,-3.02,33.06292553191489,41.65663475177304,96.4385709219858,-47.50089219858156
63,64,13.92,28.66760559006211,38.64387577639752,104.22328260869567,-24.569139440993787
64,65,-12.23,21.295161904761905,35.69408253968253,101.86249523809525,-43.70257587301587
65,66,-13.09,22.129268633540374,36.78124844720497,96.03027639751552,-141.40584518633537
66,67,-18.62,14.95503164556962,29.021626582278483,82.05056012658227,-60.5971746835443
67,68,13.96,18.986286021505375,32.33652473118279,90.05410322580644,-144.99095978494623
68,69,14.07,11.213437984496124,33.70304651162791,87.87288372093022,-28.231120542635658
69,70,12.21,14.843401785714285,21.641592261904762,84.95083928571428,-40.10829345238095
70,71,23.6,11.2752118226601,20.124931034482756,77.44643349753694,-28.86882315270936
71,72,-8.86,17.427621212121213,17.88168686868687,80.74521212121212,-40.740876767676774
72,73,12.2,17.063628252788103,27.78196654275093,69.91020446096655,-40.40049851301116
73,74,16.34,10.34199442896936,26.63177715877437,76.23443454038997,-29.708182172701957
74,75,16.67,11.220980952380952,34.089150476190476,73.1526419047619,-28.36689333333333
75,76,8.3,38.217078571428566,46.575678571428575,87.01734285714286,-32.78190071428571
76,77,10.44,32.366883783783784,48.80363783783783,90.35215405405405,-34.049014864864866
77,78,15.84,25.47805445544554,55.347237623762375,76.87786138613862,-23.60571757425743
78,79,-1.24,32.063302919708036,54.965182481751825,80.03838321167883,-23.531901824817524
79,80,14.06,29.510837837837833,52.45476061776062,72.89377992277991,-32.16616949806949
80,81,4.02,37.689516339869286,48.36117973856209,79.49185620915033,-32.77689379084966
81,82,17.88,36.673649999999995,39.968545,74.02578,-60.646982
82,83,-12.73,33.18296202531645,45.631037974683544,72.88505696202532,-43.393871518987346
83,84,22.86,18.220951417004052,42.338481781376515,93.35710931174089,-55.46755101214575
84,85,11.02,16.158563725490197,38.73141830065359,88.00669934640524,-109.93133431372549
85,86,12.48,25.51202786377709,50.4692786377709,88.43730959752322,-35.50462260061919
86,87,14.1,20.291035580524344,49.051926966292136,84.49512172284645,-38.5059297752809
87,88,4.92,26.48518539325843,46.43493258426966,71.02141011235956,-31.40077247191011
88,89,-10.86,24.067484571428576,36.524218285714284,74.13300457142857,-128.3956158857143
89,90,12.64,13.31254308093995,39.90429242819844,82.01041775456919,-50.01343028720626
90,91,-13.91,13.559396325459318,42.012790026246726,71.50614435695537,-21.47053097112861
91,92,14.3,16.52348406676783,48.11580273141123,76.33310925644916,-27.83873748103187
